"requestWeekday","carrier","destination","n"
"Sa","A3","RHO",2
"Do","A3","RHO",1
"Fr","A3","RHO",1
"So","A3","RHO",1
"Mo","A3","RHO",1
"Sa","AB","RHO",2
"Mi","AB","RHO",1
"Do","AB","RHO",1
"So","AB","RHO",1
"Mo","AB","RHO",1
"Fr","AB","LHR",44
"Sa","AB","LHR",41
"So","AB","LHR",32
"Di","AB","LHR",49
"Mo","AB","LHR",30
"Mi","AB","LHR",56
"Do","AB","LHR",40
"Fr","AB","MAD",52
"Di","AB","MAD",13
"Mi","AB","MAD",33
"Do","AB","MAD",28
"Sa","AB","MAD",35
"So","AB","MAD",28
"Mo","AB","MAD",22
"Mo","AC","YYZ",5
"Di","AC","YYZ",6
"Fr","AC","YYZ",1
"Mi","AC","YYZ",4
"Do","AC","YYZ",6
"So","AC","YYZ",3
"Sa","AC","YYZ",4
"Di","AI","BOM",2
"Mi","AI","BOM",1
"Do","AI","BOM",3
"Fr","AI","BOM",3
"Sa","AI","BOM",2
"So","AI","BOM",1
"Fr","BA","LHR",23
"Di","BA","LHR",24
"Sa","BA","LHR",22
"So","BA","LHR",18
"Mo","BA","LHR",20
"Mi","BA","LHR",62
"Do","BA","LHR",16
"Fr","BT","RIX",6
"Sa","BT","RIX",8
"Do","BT","RIX",4
"So","BT","RIX",7
"Mo","BT","RIX",7
"Mi","BT","RIX",6
"Di","BT","RIX",2
"Fr","CA","PEK",27
"Mi","CA","PEK",31
"Do","CA","PEK",29
"Di","CA","PEK",24
"Sa","CA","PEK",24
"So","CA","PEK",22
"Mo","CA","PEK",19
"Di","EK","DXB",50
"Mi","EK","DXB",66
"Do","EK","DXB",66
"Fr","EK","DXB",66
"Sa","EK","DXB",66
"So","EK","DXB",54
"Mo","EK","DXB",44
"Di","F7","BEG",50
"Mi","F7","BEG",47
"Do","F7","BEG",49
"Fr","F7","BEG",50
"Sa","F7","BEG",46
"So","F7","BEG",49
"Mo","F7","BEG",49
"Di","FI","KEF",9
"Mi","FI","KEF",10
"Do","FI","KEF",13
"Fr","FI","KEF",13
"Sa","FI","KEF",12
"So","FI","KEF",11
"Mo","FI","KEF",11
"Fr","GM","RHO",4
"Sa","GM","RHO",3
"So","GM","RHO",3
"Mo","GM","RHO",2
"Di","GM","RHO",5
"Mi","GM","RHO",5
"Do","GM","RHO",6
"Di","IB","MAD",46
"Mi","IB","MAD",54
"Do","IB","MAD",64
"Fr","IB","MAD",62
"Sa","IB","MAD",54
"So","IB","MAD",51
"Mo","IB","MAD",49
"Fr","JU","BEG",9
"Sa","JU","BEG",15
"Mi","JU","BEG",23
"Di","JU","BEG",1
"Do","JU","BEG",3
"So","JU","BEG",2
"Mi","KE","ICN",3
"Do","KE","ICN",4
"Sa","KE","ICN",4
"So","KE","ICN",5
"Mo","KE","ICN",7
"Di","KE","ICN",2
"Fr","KE","ICN",3
"Di","KL","AMS",29
"Mi","KL","AMS",17
"Do","KL","AMS",14
"Fr","KL","AMS",12
"Sa","KL","AMS",40
"So","KL","AMS",87
"Mo","KL","AMS",22
"Di","KM","MLA",14
"Mi","KM","MLA",16
"Do","KM","MLA",19
"Fr","KM","MLA",13
"Sa","KM","MLA",12
"So","KM","MLA",12
"Mo","KM","MLA",12
"Fr","LX","JFK",19
"Sa","LX","JFK",4
"So","LX","JFK",4
"Mo","LX","JFK",11
"Mi","LX","JFK",10
"Do","LX","JFK",10
"Di","LX","JFK",12
"Sa","LX","BEG",35
"So","LX","BEG",36
"Mo","LX","BEG",35
"Di","LX","BEG",43
"Mi","LX","BEG",38
"Do","LX","BEG",37
"Fr","LX","BEG",30
"Fr","LX","BOM",25
"Sa","LX","BOM",24
"So","LX","BOM",22
"Mo","LX","BOM",19
"Di","LX","BOM",18
"Mi","LX","BOM",22
"Do","LX","BOM",21
"Fr","LX","NRT",25
"Mo","LX","NRT",31
"Di","LX","NRT",32
"Mi","LX","NRT",27
"Do","LX","NRT",20
"Sa","LX","NRT",15
"So","LX","NRT",14
"Di","LX","SIN",62
"Mi","LX","SIN",78
"Do","LX","SIN",77
"Fr","LX","SIN",69
"Sa","LX","SIN",69
"So","LX","SIN",61
"Mo","LX","SIN",54
"Di","LX","BKK",64
"Mi","LX","BKK",73
"Do","LX","BKK",71
"Fr","LX","BKK",65
"Sa","LX","BKK",62
"So","LX","BKK",57
"Mo","LX","BKK",50
"Di","LX","IST",98
"Mi","LX","IST",96
"Do","LX","IST",94
"Fr","LX","IST",98
"Sa","LX","IST",99
"So","LX","IST",99
"Mo","LX","IST",100
"Fr","LX","PEK",25
"Sa","LX","PEK",25
"So","LX","PEK",26
"Mo","LX","PEK",23
"Di","LX","PEK",21
"Mi","LX","PEK",26
"Do","LX","PEK",23
"Mi","LX","MAD",52
"Do","LX","MAD",53
"Fr","LX","MAD",53
"Sa","LX","MAD",55
"So","LX","MAD",61
"Mo","LX","MAD",64
"Di","LX","MAD",64
"Fr","LX","DXB",25
"Mi","LX","DXB",28
"Do","LX","DXB",29
"Sa","LX","DXB",21
"So","LX","DXB",19
"Mo","LX","DXB",17
"Di","LX","DXB",18
"Mi","LX","MLA",32
"Do","LX","MLA",31
"Fr","LX","MLA",33
"Sa","LX","MLA",28
"So","LX","MLA",26
"Mo","LX","MLA",25
"Di","LX","MLA",27
"Mo","LX","LHR",96
"Mi","LX","LHR",85
"Do","LX","LHR",75
"Fr","LX","LHR",75
"Sa","LX","LHR",87
"So","LX","LHR",88
"Di","LX","LHR",87
"Fr","LX","YYZ",5
"Mo","LX","YYZ",2
"Do","LX","YYZ",3
"Di","LX","YYZ",2
"Mi","LX","YYZ",1
"Sa","LX","YYZ",9
"Di","LX","AMS",33
"Mi","LX","AMS",31
"Do","LX","AMS",28
"Fr","LX","AMS",24
"Sa","LX","AMS",15
"So","LX","AMS",24
"Mo","LX","AMS",31
"Sa","LX","RHO",8
"So","LX","RHO",9
"Mo","LX","RHO",8
"Di","LX","RHO",8
"Mi","LX","RHO",13
"Do","LX","RHO",13
"Fr","LX","RHO",6
"Fr","LX","GRU",24
"Mi","LX","GRU",23
"Di","LX","GRU",21
"Sa","LX","GRU",19
"So","LX","GRU",18
"Do","LX","GRU",14
"Mo","LX","GRU",15
"Sa","NH","NRT",7
"Do","NH","NRT",2
"Fr","NH","NRT",5
"So","NH","NRT",5
"Mo","NH","NRT",4
"Di","NH","NRT",9
"Mi","NH","NRT",1
"Di","SQ","SIN",4
"Mi","SQ","SIN",34
"Do","SQ","SIN",4
"Fr","SQ","SIN",5
"Sa","SQ","SIN",9
"So","SQ","SIN",9
"Mo","SQ","SIN",8
"Sa","SU","SVO",38
"Mi","SU","SVO",23
"So","SU","SVO",38
"Mo","SU","SVO",34
"Fr","SU","SVO",36
"Di","SU","SVO",23
"Do","SU","SVO",13
"Fr","TG","BKK",21
"Mo","TG","BKK",9
"Mi","TG","BKK",7
"Sa","TG","BKK",1
"So","TG","BKK",1
"Sa","TK","IST",63
"So","TK","IST",52
"Mo","TK","IST",48
"Di","TK","IST",18
"Mi","TK","IST",9
"Do","TK","IST",1
"Fr","TK","IST",4
"Do","UA","JFK",44
"Fr","UA","JFK",42
"Sa","UA","JFK",46
"So","UA","JFK",27
"Mo","UA","JFK",25
"Di","UA","JFK",46
"Mi","UA","JFK",44
"Do","UX","MAD",4
