"carrier","destination","departureWeekday","n"
"A3","RHO","Sa",2
"A3","RHO","Mi",1
"AB","LHR","Mi",4
"AB","LHR","Do",2
"AB","LHR","Di",1
"AB","MAD","Do",2
"AB","MAD","Fr",3
"AB","MAD","Sa",6
"AB","MAD","So",8
"AB","MAD","Mo",8
"AB","RHO","Sa",3
"AC","YYZ","Sa",2
"AC","YYZ","Mi",1
"AC","YYZ","So",1
"AI","BOM","Mo",1
"AI","BOM","Sa",2
"BA","LHR","Mi",3
"BA","LHR","Do",1
"BA","LHR","Sa",3
"BA","LHR","So",2
"BA","LHR","Mo",6
"BT","RIX","Di",2
"BT","RIX","Mi",2
"BT","RIX","Mo",2
"CA","PEK","Do",3
"CA","PEK","Fr",3
"CA","PEK","Sa",2
"CA","PEK","So",2
"CA","PEK","Mo",2
"CA","PEK","Di",2
"CA","PEK","Mi",2
"EK","DXB","So",4
"EK","DXB","Do",4
"EK","DXB","Di",2
"EK","DXB","Mi",2
"EK","DXB","Mo",2
"F7","BEG","Mo",1
"F7","BEG","So",1
"F7","BEG","Di",1
"FI","KEF","Di",1
"FI","KEF","Sa",1
"FI","KEF","Mi",2
"FI","KEF","Do",2
"FI","KEF","Mo",1
"GM","RHO","Di",3
"IB","MAD","Fr",2
"IB","MAD","Sa",2
"IB","MAD","Mo",3
"IB","MAD","Do",3
"IB","MAD","Di",1
"IB","MAD","So",2
"IB","MAD","Mi",1
"JU","BEG","Di",4
"JU","BEG","Mi",4
"JU","BEG","Do",4
"JU","BEG","Fr",2
"JU","BEG","Mo",4
"JU","BEG","Sa",2
"JU","BEG","So",3
"KE","ICN","Di",3
"KE","ICN","Do",1
"KL","AMS","Fr",5
"KL","AMS","Sa",12
"KL","AMS","So",10
"KL","AMS","Di",2
"KM","MLA","Mo",1
"KM","MLA","Di",2
"KM","MLA","Mi",1
"LX","AMS","Di",9
"LX","AMS","Mi",7
"LX","AMS","Do",1
"LX","AMS","So",8
"LX","AMS","Mo",10
"LX","AMS","Sa",5
"LX","BEG","Mi",3
"LX","BEG","Fr",1
"LX","BEG","So",1
"LX","BEG","Mo",2
"LX","BEG","Di",1
"LX","BKK","Do",3
"LX","BKK","Fr",6
"LX","BKK","So",6
"LX","BKK","Mo",6
"LX","BKK","Sa",5
"LX","BKK","Di",2
"LX","BKK","Mi",4
"LX","BOM","Mo",3
"LX","BOM","Di",1
"LX","BOM","Mi",1
"LX","BOM","Do",1
"LX","BOM","Fr",1
"LX","BOM","Sa",1
"LX","BOM","So",1
"LX","DXB","Sa",1
"LX","DXB","Mo",1
"LX","DXB","Di",1
"LX","DXB","Mi",1
"LX","DXB","So",1
"LX","GRU","Do",3
"LX","GRU","Fr",2
"LX","GRU","So",3
"LX","GRU","Mo",3
"LX","GRU","Di",2
"LX","GRU","Mi",2
"LX","GRU","Sa",2
"LX","IST","Di",6
"LX","IST","Mi",5
"LX","IST","Do",6
"LX","IST","Fr",4
"LX","IST","Sa",4
"LX","IST","So",4
"LX","IST","Mo",3
"LX","JFK","So",4
"LX","JFK","Mo",4
"LX","JFK","Fr",4
"LX","JFK","Sa",3
"LX","JFK","Di",2
"LX","JFK","Mi",2
"LX","LHR","Mi",4
"LX","LHR","Di",6
"LX","LHR","Sa",5
"LX","LHR","So",8
"LX","MAD","Di",5
"LX","MAD","Mi",3
"LX","MAD","Do",3
"LX","MAD","Fr",1
"LX","MAD","Sa",3
"LX","MAD","So",3
"LX","MAD","Mo",4
"LX","MLA","Mi",3
"LX","MLA","So",3
"LX","MLA","Mo",1
"LX","NRT","Mi",3
"LX","NRT","Do",3
"LX","NRT","Fr",3
"LX","NRT","Sa",3
"LX","NRT","So",3
"LX","NRT","Mo",2
"LX","PEK","Do",3
"LX","PEK","Fr",3
"LX","PEK","So",2
"LX","PEK","Mo",2
"LX","PEK","Di",2
"LX","PEK","Mi",2
"LX","PEK","Sa",1
"LX","RHO","Do",2
"LX","RHO","Sa",3
"LX","RHO","Mo",3
"LX","SIN","Fr",3
"LX","SIN","Sa",3
"LX","SIN","So",3
"LX","SIN","Mo",3
"LX","SIN","Di",2
"LX","SIN","Mi",2
"LX","SIN","Do",2
"LX","YYZ","Sa",2
"LX","YYZ","Di",1
"LX","YYZ","Mi",1
"LX","YYZ","Do",1
"LX","YYZ","Fr",1
"LX","YYZ","So",1
"LX","YYZ","Mo",1
"NH","NRT","Di",1
"NH","NRT","Mi",2
"NH","NRT","Do",1
"NH","NRT","Fr",2
"NH","NRT","Mo",1
"SQ","SIN","Di",1
"SQ","SIN","Mi",1
"SQ","SIN","Do",1
"SQ","SIN","Fr",1
"SQ","SIN","Sa",1
"SQ","SIN","So",3
"SQ","SIN","Mo",3
"SU","SVO","Di",2
"SU","SVO","Mi",2
"SU","SVO","Do",2
"SU","SVO","Sa",1
"SU","SVO","So",2
"SU","SVO","Mo",2
"TG","BKK","Mi",3
"TG","BKK","Fr",3
"TG","BKK","Sa",2
"TG","BKK","So",2
"TG","BKK","Mo",1
"TK","IST","Di",4
"TK","IST","Mi",4
"TK","IST","Do",3
"TK","IST","Fr",3
"TK","IST","Sa",3
"TK","IST","So",6
"TK","IST","Mo",11
"UA","JFK","Do",4
"UA","JFK","Fr",6
"UA","JFK","Sa",2
"UA","JFK","Mo",4
"UA","JFK","So",3
"UA","JFK","Di",2
"UA","JFK","Mi",2
"UX","MAD","Mo",2
