"destination","departureDate","flightsPerDay","durationMin","durationMax","destinationName"
"AMS",2016-05-31,9,90,100,"Amsterdam"
"AMS",2016-06-01,8,90,100,"Amsterdam"
"AMS",2016-06-02,9,90,100,"Amsterdam"
"AMS",2016-06-03,9,90,100,"Amsterdam"
"AMS",2016-06-04,9,90,105,"Amsterdam"
"AMS",2016-06-05,9,90,105,"Amsterdam"
"AMS",2016-06-06,9,90,100,"Amsterdam"
"AMS",2016-06-07,9,90,100,"Amsterdam"
"AMS",2016-06-08,9,90,100,"Amsterdam"
"AMS",2016-06-09,9,90,100,"Amsterdam"
"AMS",2016-06-10,9,90,100,"Amsterdam"
"AMS",2016-06-11,9,90,105,"Amsterdam"
"AMS",2016-06-12,9,90,105,"Amsterdam"
"AMS",2016-06-13,9,90,100,"Amsterdam"
"AMS",2016-06-14,8,90,100,"Amsterdam"
"AMS",2016-06-15,9,90,100,"Amsterdam"
"AMS",2016-06-16,9,90,100,"Amsterdam"
"AMS",2016-06-17,9,90,100,"Amsterdam"
"AMS",2016-06-18,9,90,105,"Amsterdam"
"AMS",2016-06-19,9,90,105,"Amsterdam"
"AMS",2016-06-20,9,90,100,"Amsterdam"
"AMS",2016-06-21,9,90,100,"Amsterdam"
"BEG",2016-06-04,4,100,105,"Belgrade"
"BEG",2016-05-31,4,100,105,"Belgrade"
"BEG",2016-06-02,4,100,105,"Belgrade"
"BEG",2016-06-03,4,100,100,"Belgrade"
"BEG",2016-06-05,4,100,100,"Belgrade"
"BEG",2016-06-06,4,100,105,"Belgrade"
"BEG",2016-06-07,4,100,105,"Belgrade"
"BEG",2016-06-09,4,100,105,"Belgrade"
"BEG",2016-06-10,4,100,100,"Belgrade"
"BEG",2016-06-11,4,100,105,"Belgrade"
"BEG",2016-06-12,5,100,100,"Belgrade"
"BEG",2016-06-13,4,100,105,"Belgrade"
"BEG",2016-06-14,4,100,105,"Belgrade"
"BEG",2016-06-16,4,100,105,"Belgrade"
"BEG",2016-06-17,4,100,100,"Belgrade"
"BEG",2016-06-18,4,100,105,"Belgrade"
"BEG",2016-06-19,4,100,100,"Belgrade"
"BEG",2016-06-20,4,100,105,"Belgrade"
"BEG",2016-06-21,4,100,105,"Belgrade"
"BEG",2016-06-01,4,100,100,"Belgrade"
"BEG",2016-06-08,4,100,100,"Belgrade"
"BEG",2016-06-15,4,100,100,"Belgrade"
"BKK",2016-05-31,1,655,655,"Bangkok"
"BKK",2016-06-01,2,655,660,"Bangkok"
"BKK",2016-06-02,1,655,655,"Bangkok"
"BKK",2016-06-03,2,655,660,"Bangkok"
"BKK",2016-06-04,2,655,660,"Bangkok"
"BKK",2016-06-05,2,655,660,"Bangkok"
"BKK",2016-06-06,2,655,660,"Bangkok"
"BKK",2016-06-07,1,655,655,"Bangkok"
"BKK",2016-06-08,2,655,660,"Bangkok"
"BKK",2016-06-09,1,655,655,"Bangkok"
"BKK",2016-06-10,2,655,660,"Bangkok"
"BKK",2016-06-11,2,655,660,"Bangkok"
"BKK",2016-06-12,2,655,660,"Bangkok"
"BKK",2016-06-13,2,655,660,"Bangkok"
"BKK",2016-06-14,1,655,655,"Bangkok"
"BKK",2016-06-15,2,655,660,"Bangkok"
"BKK",2016-06-16,1,655,655,"Bangkok"
"BKK",2016-06-17,2,655,660,"Bangkok"
"BKK",2016-06-18,2,655,660,"Bangkok"
"BKK",2016-06-19,2,655,660,"Bangkok"
"BKK",2016-06-20,2,655,660,"Bangkok"
"BKK",2016-06-21,1,655,655,"Bangkok"
"BOM",2016-06-02,1,505,505,"Bombay"
"BOM",2016-06-04,1,505,505,"Bombay"
"BOM",2016-06-06,1,505,505,"Bombay"
"BOM",2016-06-07,1,505,505,"Bombay"
"BOM",2016-06-08,1,505,505,"Bombay"
"BOM",2016-06-09,1,505,505,"Bombay"
"BOM",2016-06-10,1,505,505,"Bombay"
"BOM",2016-06-11,1,505,505,"Bombay"
"BOM",2016-06-12,1,505,505,"Bombay"
"BOM",2016-06-13,1,505,505,"Bombay"
"BOM",2016-06-14,1,505,505,"Bombay"
"BOM",2016-06-15,1,505,505,"Bombay"
"BOM",2016-06-16,1,505,505,"Bombay"
"BOM",2016-06-17,1,505,505,"Bombay"
"BOM",2016-06-18,1,505,505,"Bombay"
"BOM",2016-06-19,1,505,505,"Bombay"
"BOM",2016-06-20,1,505,505,"Bombay"
"BOM",2016-06-21,1,505,505,"Bombay"
"BOM",2016-05-31,1,505,505,"Bombay"
"BOM",2016-06-01,1,505,505,"Bombay"
"BOM",2016-06-03,1,505,505,"Bombay"
"BOM",2016-06-05,1,505,505,"Bombay"
"DXB",2016-05-31,3,370,380,"Dubai"
"DXB",2016-06-01,3,370,380,"Dubai"
"DXB",2016-06-02,3,370,380,"Dubai"
"DXB",2016-06-03,3,370,380,"Dubai"
"DXB",2016-06-04,3,370,380,"Dubai"
"DXB",2016-06-05,3,370,380,"Dubai"
"DXB",2016-06-06,3,370,380,"Dubai"
"DXB",2016-06-07,3,370,380,"Dubai"
"DXB",2016-06-08,3,370,380,"Dubai"
"DXB",2016-06-09,3,370,380,"Dubai"
"DXB",2016-06-10,2,370,380,"Dubai"
"DXB",2016-06-11,3,370,380,"Dubai"
"DXB",2016-06-12,3,370,380,"Dubai"
"DXB",2016-06-13,3,370,380,"Dubai"
"DXB",2016-06-14,3,370,380,"Dubai"
"DXB",2016-06-15,3,370,380,"Dubai"
"DXB",2016-06-16,3,370,380,"Dubai"
"DXB",2016-06-17,2,370,380,"Dubai"
"DXB",2016-06-18,3,370,380,"Dubai"
"DXB",2016-06-19,3,370,380,"Dubai"
"DXB",2016-06-20,3,370,380,"Dubai"
"DXB",2016-06-21,3,370,380,"Dubai"
"GRU",2016-05-31,1,735,735,"Sao Paolo"
"GRU",2016-06-01,1,735,735,"Sao Paolo"
"GRU",2016-06-02,1,735,735,"Sao Paolo"
"GRU",2016-06-03,1,735,735,"Sao Paolo"
"GRU",2016-06-04,1,735,735,"Sao Paolo"
"GRU",2016-06-05,1,735,735,"Sao Paolo"
"GRU",2016-06-06,1,735,735,"Sao Paolo"
"GRU",2016-06-07,1,735,735,"Sao Paolo"
"GRU",2016-06-08,1,735,735,"Sao Paolo"
"GRU",2016-06-09,1,735,735,"Sao Paolo"
"GRU",2016-06-10,1,735,735,"Sao Paolo"
"GRU",2016-06-11,1,735,735,"Sao Paolo"
"GRU",2016-06-12,1,735,735,"Sao Paolo"
"GRU",2016-06-13,1,735,735,"Sao Paolo"
"GRU",2016-06-14,1,735,735,"Sao Paolo"
"GRU",2016-06-15,1,735,735,"Sao Paolo"
"GRU",2016-06-16,1,735,735,"Sao Paolo"
"GRU",2016-06-17,1,735,735,"Sao Paolo"
"GRU",2016-06-18,1,735,735,"Sao Paolo"
"GRU",2016-06-19,1,735,735,"Sao Paolo"
"GRU",2016-06-20,1,735,735,"Sao Paolo"
"GRU",2016-06-21,1,735,735,"Sao Paolo"
"ICN",2016-05-31,1,650,650,"Seoul"
"ICN",2016-06-02,1,660,660,"Seoul"
"ICN",2016-06-04,1,660,660,"Seoul"
"ICN",2016-06-07,1,660,660,"Seoul"
"ICN",2016-06-09,1,660,660,"Seoul"
"ICN",2016-06-11,1,660,660,"Seoul"
"ICN",2016-06-14,1,660,660,"Seoul"
"ICN",2016-06-16,1,660,660,"Seoul"
"ICN",2016-06-18,1,660,660,"Seoul"
"ICN",2016-06-21,1,660,660,"Seoul"
"IST",2016-05-31,6,165,175,"Istanbul"
"IST",2016-06-01,6,165,175,"Istanbul"
"IST",2016-06-02,6,165,175,"Istanbul"
"IST",2016-06-03,6,165,175,"Istanbul"
"IST",2016-06-04,6,165,175,"Istanbul"
"IST",2016-06-05,6,165,175,"Istanbul"
"IST",2016-06-06,5,165,175,"Istanbul"
"IST",2016-06-07,5,165,175,"Istanbul"
"IST",2016-06-08,6,165,175,"Istanbul"
"IST",2016-06-09,5,165,175,"Istanbul"
"IST",2016-06-10,5,165,175,"Istanbul"
"IST",2016-06-11,5,165,175,"Istanbul"
"IST",2016-06-12,5,165,175,"Istanbul"
"IST",2016-06-13,5,165,175,"Istanbul"
"IST",2016-06-14,6,165,175,"Istanbul"
"IST",2016-06-15,5,165,175,"Istanbul"
"IST",2016-06-16,5,165,175,"Istanbul"
"IST",2016-06-17,5,165,175,"Istanbul"
"IST",2016-06-18,5,165,175,"Istanbul"
"IST",2016-06-19,5,165,175,"Istanbul"
"IST",2016-06-21,5,165,175,"Istanbul"
"IST",2016-06-20,5,165,175,"Istanbul"
"JFK",2016-06-02,2,525,530,"New York"
"JFK",2016-06-03,2,525,530,"New York"
"JFK",2016-06-04,2,525,530,"New York"
"JFK",2016-06-05,2,525,530,"New York"
"JFK",2016-06-06,2,525,530,"New York"
"JFK",2016-06-07,2,525,530,"New York"
"JFK",2016-06-08,2,525,530,"New York"
"JFK",2016-06-09,2,525,530,"New York"
"JFK",2016-06-10,2,525,530,"New York"
"JFK",2016-06-11,2,525,530,"New York"
"JFK",2016-06-12,2,525,530,"New York"
"JFK",2016-06-13,2,525,530,"New York"
"JFK",2016-06-14,2,525,530,"New York"
"JFK",2016-06-15,2,525,530,"New York"
"JFK",2016-06-16,2,525,530,"New York"
"JFK",2016-06-17,2,525,530,"New York"
"JFK",2016-06-18,2,525,530,"New York"
"JFK",2016-06-19,2,525,530,"New York"
"JFK",2016-06-20,2,525,530,"New York"
"JFK",2016-06-21,2,525,530,"New York"
"KEF",2016-05-31,1,230,230,"Reykjavik"
"KEF",2016-06-01,1,230,230,"Reykjavik"
"KEF",2016-06-02,1,230,230,"Reykjavik"
"KEF",2016-06-03,1,230,230,"Reykjavik"
"KEF",2016-06-04,1,230,230,"Reykjavik"
"KEF",2016-06-05,1,230,230,"Reykjavik"
"KEF",2016-06-07,1,230,230,"Reykjavik"
"KEF",2016-06-08,1,230,230,"Reykjavik"
"KEF",2016-06-09,1,230,230,"Reykjavik"
"KEF",2016-06-10,1,230,230,"Reykjavik"
"KEF",2016-06-11,1,230,230,"Reykjavik"
"KEF",2016-06-12,1,230,230,"Reykjavik"
"KEF",2016-06-13,1,230,230,"Reykjavik"
"KEF",2016-06-14,1,230,230,"Reykjavik"
"KEF",2016-06-15,1,230,230,"Reykjavik"
"KEF",2016-06-16,1,230,230,"Reykjavik"
"KEF",2016-06-17,1,230,230,"Reykjavik"
"KEF",2016-06-18,1,230,230,"Reykjavik"
"KEF",2016-06-19,1,230,230,"Reykjavik"
"KEF",2016-06-20,1,230,230,"Reykjavik"
"KEF",2016-06-21,1,230,230,"Reykjavik"
"LHR",2016-05-31,13,105,120,"London"
"LHR",2016-06-01,12,105,120,"London"
"LHR",2016-06-02,13,105,120,"London"
"LHR",2016-06-03,12,105,120,"London"
"LHR",2016-06-04,11,105,120,"London"
"LHR",2016-06-05,11,100,120,"London"
"LHR",2016-06-06,12,105,120,"London"
"LHR",2016-06-07,13,105,120,"London"
"LHR",2016-06-08,12,105,120,"London"
"LHR",2016-06-09,13,105,120,"London"
"LHR",2016-06-10,12,105,120,"London"
"LHR",2016-06-11,12,105,120,"London"
"LHR",2016-06-12,11,100,120,"London"
"LHR",2016-06-13,12,105,120,"London"
"LHR",2016-06-14,13,105,120,"London"
"LHR",2016-06-15,12,105,120,"London"
"LHR",2016-06-16,13,105,120,"London"
"LHR",2016-06-17,12,105,120,"London"
"LHR",2016-06-18,12,105,120,"London"
"LHR",2016-06-19,11,100,120,"London"
"LHR",2016-06-20,12,105,120,"London"
"LHR",2016-06-21,13,105,120,"London"
"MAD",2016-05-31,6,140,145,"Madrid"
"MAD",2016-06-01,6,140,145,"Madrid"
"MAD",2016-06-02,6,140,145,"Madrid"
"MAD",2016-06-03,6,140,145,"Madrid"
"MAD",2016-06-04,6,140,145,"Madrid"
"MAD",2016-06-05,6,140,145,"Madrid"
"MAD",2016-06-06,6,140,145,"Madrid"
"MAD",2016-06-07,6,140,145,"Madrid"
"MAD",2016-06-08,6,140,145,"Madrid"
"MAD",2016-06-09,6,140,145,"Madrid"
"MAD",2016-06-10,6,140,145,"Madrid"
"MAD",2016-06-11,6,140,145,"Madrid"
"MAD",2016-06-12,6,140,145,"Madrid"
"MAD",2016-06-13,6,140,145,"Madrid"
"MAD",2016-06-14,6,140,145,"Madrid"
"MAD",2016-06-15,6,140,145,"Madrid"
"MAD",2016-06-16,6,140,145,"Madrid"
"MAD",2016-06-17,6,140,145,"Madrid"
"MAD",2016-06-18,6,140,145,"Madrid"
"MAD",2016-06-19,6,140,145,"Madrid"
"MAD",2016-06-20,7,140,150,"Madrid"
"MAD",2016-06-21,7,140,150,"Madrid"
"MLA",2016-05-31,1,135,135,"Malta"
"MLA",2016-06-01,2,135,135,"Malta"
"MLA",2016-06-02,1,135,135,"Malta"
"MLA",2016-06-03,2,135,135,"Malta"
"MLA",2016-06-04,1,135,135,"Malta"
"MLA",2016-06-05,2,130,135,"Malta"
"MLA",2016-06-06,2,135,135,"Malta"
"MLA",2016-06-07,1,135,135,"Malta"
"MLA",2016-06-08,2,135,135,"Malta"
"MLA",2016-06-09,1,135,135,"Malta"
"MLA",2016-06-10,2,135,135,"Malta"
"MLA",2016-06-11,1,135,135,"Malta"
"MLA",2016-06-12,2,130,135,"Malta"
"MLA",2016-06-13,2,135,135,"Malta"
"MLA",2016-06-14,1,135,135,"Malta"
"MLA",2016-06-15,2,135,135,"Malta"
"MLA",2016-06-16,1,135,135,"Malta"
"MLA",2016-06-17,2,135,135,"Malta"
"MLA",2016-06-18,1,135,135,"Malta"
"MLA",2016-06-19,2,130,135,"Malta"
"MLA",2016-06-20,2,135,135,"Malta"
"MLA",2016-06-21,1,135,135,"Malta"
"NRT",2016-05-31,1,710,710,"Tokyo"
"NRT",2016-06-01,1,710,710,"Tokyo"
"NRT",2016-06-02,1,710,710,"Tokyo"
"NRT",2016-06-03,1,705,705,"Tokyo"
"NRT",2016-06-04,1,715,715,"Tokyo"
"NRT",2016-06-05,1,710,710,"Tokyo"
"NRT",2016-06-06,1,710,710,"Tokyo"
"NRT",2016-06-07,1,710,710,"Tokyo"
"NRT",2016-06-08,1,710,710,"Tokyo"
"NRT",2016-06-09,1,710,710,"Tokyo"
"NRT",2016-06-10,1,705,705,"Tokyo"
"NRT",2016-06-11,1,715,715,"Tokyo"
"NRT",2016-06-12,1,710,710,"Tokyo"
