"flightNumber","departureDate","requestDate","origin","destination","pmin","priceChangeRel","priceChangeAbs","pr","pcm","priceChangeRelBoolean","priceChangeAbsBoolean"
"LX316",2016-06-07,2016-05-10,"ZRH","LHR",147.87,1,1,1,147.87,0,0
"LX316",2016-06-07,2016-05-11,"ZRH","LHR",148.28,1.00277270575506,1.00277270575506,2,147.87,1,1
"LX316",2016-06-07,2016-05-12,"ZRH","LHR",148.41,1.00087671971945,1.00365185636032,3,147.87,1,1
"LX316",2016-06-07,2016-05-13,"ZRH","LHR",148.78,1.00249309345731,1.00615405423683,4,147.87,1,1
"LX316",2016-06-07,2016-05-14,"ZRH","LHR",152.63,1.02587713402339,1.03219043754649,6,147.87,1,1
"LX316",2016-06-07,2016-05-15,"ZRH","LHR",152.63,1,1.03219043754649,6,147.87,0,1
"LX316",2016-06-07,2016-05-16,"ZRH","LHR",149.4,0.978837712114263,1.01034692635423,5,147.87,-1,1
"LX316",2016-06-07,2016-05-17,"ZRH","LHR",152.63,1.02161981258367,1.03219043754649,6,147.87,1,1
"LX316",2016-06-07,2016-05-18,"ZRH","LHR",152.63,1,1.03219043754649,6,147.87,0,1
"LX316",2016-06-07,2016-05-19,"ZRH","LHR",152.63,1,1.03219043754649,6,147.87,0,1
"LX316",2016-06-07,2016-05-20,"ZRH","LHR",152.63,1,1.03219043754649,6,147.87,0,1
"LX316",2016-06-07,2016-05-21,"ZRH","LHR",152.63,1,1.03219043754649,6,147.87,0,1
"LX316",2016-06-07,2016-05-22,"ZRH","LHR",152.63,1,1.03219043754649,6,147.87,0,1
"LX316",2016-06-07,2016-05-23,"ZRH","LHR",152.63,1,1.03219043754649,6,147.87,0,1
"LX316",2016-06-07,2016-05-24,"ZRH","LHR",167.5,1.09742514577737,1.13275174139447,7,147.87,1,1
"LX316",2016-06-07,2016-05-25,"ZRH","LHR",175.92,1.05026865671642,1.18969364982755,8,147.87,1,1
"LX316",2016-06-07,2016-05-26,"ZRH","LHR",175.92,1,1.18969364982755,8,147.87,0,1
"LX316",2016-06-07,2016-05-27,"ZRH","LHR",175.92,1,1.18969364982755,8,147.87,0,1
"LX316",2016-06-07,2016-05-28,"ZRH","LHR",179.3,1.01921327876307,1.21255156556435,9,147.87,1,1
"LX316",2016-06-07,2016-05-29,"ZRH","LHR",189.52,1.05699944227552,1.28166632853182,10,147.87,1,1
"LX316",2016-06-07,2016-05-30,"ZRH","LHR",179.3,0.946074292950612,1.21255156556435,9,147.87,-1,1
"LX316",2016-06-07,2016-05-31,"ZRH","LHR",203.36,1.13418851087563,1.37526205450734,12,147.87,1,1
"LX316",2016-06-07,2016-06-01,"ZRH","LHR",200.17,0.984313532651455,1.35368905119362,11,147.87,-1,1
"LX316",2016-06-07,2016-06-02,"ZRH","LHR",208.4,1.04111505220563,1.40934604720362,13,147.87,1,1
"LX316",2016-06-07,2016-06-03,"ZRH","LHR",208.4,1,1.40934604720362,13,147.87,0,1
"LX316",2016-06-07,2016-06-04,"ZRH","LHR",217.15,1.04198656429942,1.46851964563468,14,147.87,1,1
"LX316",2016-06-07,2016-06-05,"ZRH","LHR",248.46,1.14418604651163,1.6802596875634,15,147.87,1,1
"LX316",2016-06-07,2016-06-06,"ZRH","LHR",256.71,1.03320453996619,1.73605193751268,16,147.87,1,1
"LX316",2016-06-08,2016-05-11,"ZRH","LHR",148.28,1,1,2,148.28,0,0
"LX316",2016-06-08,2016-05-12,"ZRH","LHR",148.41,1.00087671971945,1.00087671971945,3,148.28,1,1
"LX316",2016-06-08,2016-05-13,"ZRH","LHR",147.93,0.996765716595917,0.997639600755328,1,147.93,-1,-1
"LX316",2016-06-08,2016-05-14,"ZRH","LHR",152.63,1.03177178395187,1.02933639061235,4,147.93,1,1
"LX316",2016-06-08,2016-05-15,"ZRH","LHR",152.63,1,1.02933639061235,4,147.93,0,1
"LX316",2016-06-08,2016-05-16,"ZRH","LHR",152.63,1,1.02933639061235,4,147.93,0,1
"LX316",2016-06-08,2016-05-17,"ZRH","LHR",152.63,1,1.02933639061235,4,147.93,0,1
"LX316",2016-06-08,2016-05-18,"ZRH","LHR",152.63,1,1.02933639061235,4,147.93,0,1
"LX316",2016-06-08,2016-05-19,"ZRH","LHR",152.63,1,1.02933639061235,4,147.93,0,1
"LX316",2016-06-08,2016-05-20,"ZRH","LHR",152.63,1,1.02933639061235,4,147.93,0,1
"LX316",2016-06-08,2016-05-21,"ZRH","LHR",152.63,1,1.02933639061235,4,147.93,0,1
"LX316",2016-06-08,2016-05-22,"ZRH","LHR",152.63,1,1.02933639061235,4,147.93,0,1
"LX316",2016-06-08,2016-05-23,"ZRH","LHR",152.63,1,1.02933639061235,4,147.93,0,1
"LX316",2016-06-08,2016-05-24,"ZRH","LHR",152.63,1,1.02933639061235,4,147.93,0,1
"LX316",2016-06-08,2016-05-25,"ZRH","LHR",175.92,1.15259123370242,1.18640410035069,5,147.93,1,1
"LX316",2016-06-08,2016-05-26,"ZRH","LHR",175.92,1,1.18640410035069,5,147.93,0,1
"LX316",2016-06-08,2016-05-27,"ZRH","LHR",175.92,1,1.18640410035069,5,147.93,0,1
"LX316",2016-06-08,2016-05-28,"ZRH","LHR",175.92,1,1.18640410035069,5,147.93,0,1
"LX316",2016-06-08,2016-05-29,"ZRH","LHR",175.92,1,1.18640410035069,5,147.93,0,1
"LX316",2016-06-08,2016-05-30,"ZRH","LHR",175.92,1,1.18640410035069,5,147.93,0,1
"LX316",2016-06-08,2016-05-31,"ZRH","LHR",175.92,1,1.18640410035069,5,147.93,0,1
"LX316",2016-06-08,2016-06-01,"ZRH","LHR",195,1.10845839017735,1.31507957917453,6,147.93,1,1
"LX316",2016-06-08,2016-06-02,"ZRH","LHR",208.4,1.06871794871795,1.40544915025627,7,147.93,1,1
"LX316",2016-06-08,2016-06-03,"ZRH","LHR",213.3,1.02351247600768,1.43849473968168,8,147.93,1,1
"LX316",2016-06-08,2016-06-04,"ZRH","LHR",237.4,1.11298640412564,1.60102508767197,9,147.93,1,1
"LX316",2016-06-08,2016-06-05,"ZRH","LHR",237.4,1,1.60102508767197,9,147.93,0,1
"LX316",2016-06-08,2016-06-06,"ZRH","LHR",237.4,1,1.60102508767197,9,147.93,0,1
"LX316",2016-06-08,2016-06-07,"ZRH","LHR",247.14,1.04102780117944,1.66671162665228,10,147.93,1,1
"LX316",2016-06-09,2016-05-12,"ZRH","LHR",147.43,1,1,1,147.43,0,0
